location,date,percent_infected,percent_vaccinated
Oman,2021-04-30,3.78,1.44
Pakistan,2021-04-30,0.37,0.36
Palestine,2021-04-30,5.81,2.25
Panama,2021-04-30,8.45,11.87
Papua New Guinea,2021-04-30,0.12,
Paraguay,2021-04-30,3.91,1.44
Peru,2021-04-30,5.46,4.82
Philippines,2021-04-30,0.95,0.5
Poland,2021-04-30,7.38,17.55
Portugal,2021-04-30,8.2,32.16
Qatar,2021-04-30,7.14,33.38
Romania,2021-04-30,5.49,26.83
Russia,2021-04-30,3.26,7.73
Rwanda,2021-04-30,0.19,2.12
Saint Helena,2021-04-09,,
Saint Kitts and Nevis,2021-04-30,0.08,0.56
Saint Lucia,2021-04-30,2.48,0.75
Saint Vincent and the Grenadines,2021-04-30,1.68,
Samoa,2021-04-30,0.0,
San Marino,2021-04-30,14.93,50.62
Sao Tome and Principe,2021-04-30,1.05,
Saudi Arabia,2021-04-30,1.2,23.95
Senegal,2021-04-30,0.24,1.88
Serbia,2021-04-30,10.13,27.14
Seychelles,2021-04-30,5.97,42.25
Sierra Leone,2021-04-30,0.05,0.1
Singapore,2021-04-30,1.05,0.94
Slovakia,2021-04-30,7.0,28.84
Slovenia,2021-04-30,11.56,30.05
Solomon Islands,2021-04-30,0.0,
Somalia,2021-04-30,0.09,
South Africa,2021-04-30,2.67,0.48
South Korea,2021-04-30,0.24,6.8
South Sudan,2021-04-30,0.09,
Spain,2021-04-30,7.54,25.29
Sri Lanka,2021-04-30,0.51,4.13
Sudan,2021-04-30,0.08,0.05
Suriname,2021-04-30,1.77,2.03
Sweden,2021-04-30,9.64,2.45
Switzerland,2021-04-30,7.63,28.1
Syria,2021-04-30,0.13,
Taiwan,2021-04-30,0.0,0.22
Tajikistan,2021-04-30,0.14,
Tanzania,2021-04-30,0.0,
Thailand,2021-04-30,0.09,1.82
Timor,2021-04-30,0.17,
Togo,2021-04-30,0.16,
Tonga,2021-04-26,,
Trinidad and Tobago,2021-04-30,0.77,2.1
Tunisia,2021-04-30,2.62,2.47
Turkey,2021-04-30,4.74,26.7
Turks and Caicos Islands,2021-04-11,,
Uganda,2021-04-30,0.09,0.53
Ukraine,2021-04-30,4.86,1.5
United Arab Emirates,2021-04-30,5.26,95.8
United Kingdom,2021-04-30,6.53,67.87
United States,2021-04-30,9.77,68.76
Uruguay,2021-04-30,5.71,52.79
Uzbekistan,2021-04-30,0.27,0.23
Vanuatu,2021-04-30,0.0,
Vatican,2021-04-30,3.34,
Venezuela,2021-04-30,0.7,
Vietnam,2021-04-30,0.0,0.52
Yemen,2021-04-30,0.02,
Zambia,2021-04-30,0.5,0.09
Zimbabwe,2021-04-30,0.26,3.36
