continent,location,date,population,new_cases,new_vaccinations,total_vaccinations,RollingPeopleInfected,RollingPeopleVaccinated,percent_infected,percent_vaccinated
Africa,Angola,2021-04-11,32866268,126,,245442,23457,,0.07,
Africa,Angola,2021-04-19,32866268,129,,395447,24518,,0.07,
Africa,Angola,2021-04-23,32866268,228,,456349,25279,,0.08,
North America,Anguilla,2021-02-13,15002,,,1341,,,,
North America,Anguilla,2021-02-14,15002,,1421,2762,,1421,,9.47
North America,Anguilla,2021-02-26,15002,,,3929,,1421,,9.47
North America,Anguilla,2021-03-09,15002,,,4700,,1421,,9.47
North America,Anguilla,2021-03-13,15002,,,5000,,1421,,9.47
North America,Anguilla,2021-03-19,15002,,,5348,,1421,,9.47
North America,Anguilla,2021-04-12,15002,,,5835,,1421,,9.47
North America,Anguilla,2021-04-22,15002,,,6898,,1421,,9.47
North America,Antigua and Barbuda,2021-03-15,97928,0,,24164,963,,0.98,
North America,Antigua and Barbuda,2021-03-19,97928,3,,25677,1011,,1.03,
North America,Antigua and Barbuda,2021-03-25,97928,23,,26424,1103,,1.13,
North America,Antigua and Barbuda,2021-03-31,97928,0,,26836,1136,,1.16,
North America,Antigua and Barbuda,2021-04-03,97928,18,,27032,1170,,1.19,
North America,Antigua and Barbuda,2021-04-14,97928,0,,27592,1201,,1.23,
North America,Antigua and Barbuda,2021-04-16,97928,4,,28414,1213,,1.24,
North America,Antigua and Barbuda,2021-04-17,97928,3,225,28639,1216,225,1.24,0.23
North America,Antigua and Barbuda,2021-04-22,97928,0,,29754,1217,225,1.24,0.23
South America,Argentina,2020-12-29,45195777,11650,,700,1602163,,3.54,
South America,Argentina,2020-12-31,45195777,11586,,32013,1625514,,3.6,
South America,Argentina,2021-01-04,45195777,8222,,39599,1648940,,3.65,
South America,Argentina,2021-01-08,45195777,13346,,107542,1703352,,3.77,
South America,Argentina,2021-01-13,45195777,12725,,166833,1757429,,3.89,
South America,Argentina,2021-01-15,45195777,12332,,200759,1783047,,3.95,
South America,Argentina,2021-01-20,45195777,12112,,247933,1831681,,4.05,
South America,Argentina,2021-01-21,45195777,11396,17791,265724,1843077,17791,4.08,0.04
South America,Argentina,2021-01-22,45195777,10753,13878,279602,1853830,31669,4.1,0.07
South America,Argentina,2021-01-23,45195777,8362,8462,288064,1862192,40131,4.12,0.09
South America,Argentina,2021-01-24,45195777,5031,3959,292023,1867223,44090,4.13,0.1
South America,Argentina,2021-01-25,45195777,7578,363,292386,1874801,44453,4.15,0.1
South America,Argentina,2021-01-26,45195777,10409,13494,305880,1885210,57947,4.17,0.13
South America,Argentina,2021-01-27,45195777,10843,12153,318033,1896053,70100,4.2,0.16
South America,Argentina,2021-01-28,45195777,9471,9966,327999,1905524,80066,4.22,0.18
South America,Argentina,2021-01-29,45195777,9838,16035,344034,1915362,96101,4.24,0.21
South America,Argentina,2021-01-30,45195777,6902,22350,366384,1922264,118451,4.25,0.26
South America,Argentina,2021-02-01,45195777,6614,,375851,1933853,118451,4.28,0.26
South America,Argentina,2021-02-03,45195777,9196,,396562,1952744,118451,4.32,0.26
South America,Argentina,2021-02-04,45195777,8891,47456,444018,1961635,165907,4.34,0.37
South America,Argentina,2021-02-06,45195777,6680,,471383,1976689,165907,4.37,0.37
South America,Argentina,2021-02-07,45195777,3658,29769,501152,1980347,195676,4.38,0.43
South America,Argentina,2021-02-08,45195777,5154,10430,511582,1985501,206106,4.39,0.46
South America,Argentina,2021-02-09,45195777,7794,1596,513178,1993295,207702,4.41,0.46
South America,Argentina,2021-02-10,45195777,7739,22125,535303,2001034,229827,4.43,0.51
South America,Argentina,2021-02-11,45195777,7311,37625,572928,2008345,267452,4.44,0.59
South America,Argentina,2021-02-12,45195777,7151,18704,591632,2015496,286156,4.46,0.63
South America,Argentina,2021-02-13,45195777,6057,14613,606245,2021553,300769,4.47,0.67
South America,Argentina,2021-02-14,45195777,4245,3360,609605,2025798,304129,4.48,0.67
South America,Argentina,2021-02-15,45195777,3259,186,609791,2029057,304315,4.49,0.67
South America,Argentina,2021-02-16,45195777,4003,1378,611169,2033060,305693,4.5,0.68
South America,Argentina,2021-02-17,45195777,6064,1153,612322,2039124,306846,4.51,0.68
South America,Argentina,2021-02-18,45195777,7671,23261,635583,2046795,330107,4.53,0.73
South America,Argentina,2021-02-19,45195777,7886,33071,668654,2054681,363178,4.55,0.8
South America,Argentina,2021-02-20,45195777,5944,38494,707148,2060625,401672,4.56,0.89
South America,Argentina,2021-02-21,45195777,3709,13119,720267,2064334,414791,4.57,0.92
South America,Argentina,2021-02-22,45195777,5417,1967,722234,2069751,416758,4.58,0.92
South America,Argentina,2021-02-23,45195777,7477,24381,746615,2077228,441139,4.6,0.98
South America,Argentina,2021-02-24,45195777,8183,33840,780455,2085411,474979,4.61,1.05
South America,Argentina,2021-02-25,45195777,8234,49377,829832,2093645,524356,4.63,1.16
South America,Argentina,2021-02-26,45195777,5083,74083,903915,2098728,598439,4.64,1.32
South America,Argentina,2021-02-27,45195777,5469,80980,984895,2104197,679419,4.66,1.5
South America,Argentina,2021-02-28,45195777,3168,40108,1025003,2107365,719527,4.66,1.59
South America,Argentina,2021-03-01,45195777,4658,24166,1049169,2112023,743693,4.67,1.65
South America,Argentina,2021-03-02,45195777,6653,76939,1126108,2118676,820632,4.69,1.82
South America,Argentina,2021-03-03,45195777,7855,55184,1181292,2126531,875816,4.71,1.94
South America,Argentina,2021-03-04,45195777,7432,71169,1252461,2133963,946985,4.72,2.1
South America,Argentina,2021-03-05,45195777,7891,105135,1357596,2141854,1052120,4.74,2.33
South America,Argentina,2021-03-07,45195777,2922,,1526078,2149636,1052120,4.76,2.33
South America,Argentina,2021-03-08,45195777,5058,20621,1546699,2154694,1072741,4.77,2.37
South America,Argentina,2021-03-09,45195777,7307,102258,1648957,2162001,1174999,4.78,2.6
South America,Argentina,2021-03-10,45195777,7693,125481,1774438,2169694,1300480,4.8,2.88
South America,Argentina,2021-03-11,45195777,8204,144636,1919074,2177898,1445116,4.82,3.2
South America,Argentina,2021-03-12,45195777,7849,179131,2098205,2185747,1624247,4.84,3.59
South America,Argentina,2021-03-13,45195777,6278,196533,2294738,2192025,1820780,4.85,4.03
South America,Argentina,2021-03-14,45195777,3697,86691,2381429,2195722,1907471,4.86,4.22
South America,Argentina,2021-03-15,45195777,6164,22765,2404194,2201886,1930236,4.87,4.27
South America,Argentina,2021-03-16,45195777,8235,137168,2541362,2210121,2067404,4.89,4.57
South America,Argentina,2021-03-17,45195777,8304,126741,2668103,2218425,2194145,4.91,4.85
South America,Argentina,2021-03-18,45195777,8328,137050,2805153,2226753,2331195,4.93,5.16
South America,Argentina,2021-03-19,45195777,8160,134211,2939364,2234913,2465406,4.94,5.45
South America,Argentina,2021-03-20,45195777,6826,124500,3063864,2241739,2589906,4.96,5.73
South America,Argentina,2021-03-21,45195777,4032,55964,3119828,2245771,2645870,4.97,5.85
South America,Argentina,2021-03-22,45195777,6401,22616,3142444,2252172,2668486,4.98,5.9
South America,Argentina,2021-03-23,45195777,9405,98287,3240731,2261577,2766773,5.0,6.12
South America,Argentina,2021-03-24,45195777,8300,88202,3328933,2269877,2854975,5.02,6.32
South America,Argentina,2021-03-25,45195777,8238,36906,3365839,2278115,2891881,5.04,6.4
South America,Argentina,2021-03-26,45195777,12936,108576,3474415,2291051,3000457,5.07,6.64
South America,Argentina,2021-03-27,45195777,10338,96045,3570460,2301389,3096502,5.09,6.85
South America,Argentina,2021-03-28,45195777,7208,54823,3625283,2308597,3151325,5.11,6.97
South America,Argentina,2021-03-29,45195777,14014,20785,3646068,2322611,3172110,5.14,7.02
South America,Argentina,2021-03-30,45195777,10154,98498,3744566,2332765,3270608,5.16,7.24
South America,Argentina,2021-03-31,45195777,16056,147366,3891932,2348821,3417974,5.2,7.56
South America,Argentina,2021-04-01,45195777,14430,131085,4023017,2363251,3549059,5.23,7.85
South America,Argentina,2021-04-02,45195777,9902,100135,4123152,2373153,3649194,5.25,8.07
South America,Argentina,2021-04-03,45195777,10384,55744,4178896,2383537,3704938,5.27,8.2
South America,Argentina,2021-04-04,45195777,9955,55609,4234505,2393492,3760547,5.3,8.32
South America,Argentina,2021-04-05,45195777,13667,26303,4260808,2407159,3786850,5.33,8.38
South America,Argentina,2021-04-06,45195777,20870,143367,4404175,2428029,3930217,5.37,8.7
South America,Argentina,2021-04-07,45195777,22039,167644,4571819,2450068,4097861,5.42,9.07
South America,Argentina,2021-04-08,45195777,23683,199395,4771214,2473751,4297256,5.47,9.51
South America,Argentina,2021-04-09,45195777,24130,184809,4956023,2497881,4482065,5.53,9.92
